Lieferrichtung: Bezug
Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2024-09-01T00:00:00.000+02:00;;;;;;;;;
2024-09-01T00:15:00.000+02:00;1858,631;0,011;VAL;;;;;;
2024-09-01T00:30:00.000+02:00;1858,637;0,006;VAL;;;;;;
2024-09-01T00:45:00.000+02:00;1858,652;0,015;VAL;;;;;;
2024-09-01T01:00:00.000+02:00;1858,67;0,018;VAL;;;;;;
2024-09-01T01:15:00.000+02:00;1858,676;0,006;VAL;;;;;;
2024-09-01T01:30:00.000+02:00;1858,684;0,008;VAL;;;;;;
2024-09-01T01:45:00.000+02:00;1858,705;0,021;VAL;;;;;;
2024-09-01T02:00:00.000+02:00;1858,715;0,01;VAL;;;;;;
2024-09-01T02:15:00.000+02:00;1858,722;0,007;VAL;;;;;;
2024-09-01T02:30:00.000+02:00;1858,738;0,016;VAL;;;;;;
2024-09-01T02:45:00.000+02:00;1858,754;0,016;VAL;;;;;;
2024-09-01T03:00:00.000+02:00;1858,761;0,007;VAL;;;;;;
2024-09-01T03:15:00.000+02:00;1858,77;0,009;VAL;;;;;;
2024-09-01T03:30:00.000+02:00;1858,791;0,021;VAL;;;;;;
2024-09-01T03:45:00.000+02:00;1858,801;0,01;VAL;;;;;;
2024-09-01T04:00:00.000+02:00;1858,807;0,006;VAL;;;;;;
2024-09-01T04:15:00.000+02:00;1858,823;0,016;VAL;;;;;;
2024-09-01T04:30:00.000+02:00;1858,84;0,017;VAL;;;;;;
2024-09-01T04:45:00.000+02:00;1858,846;0,006;VAL;;;;;;
2024-09-01T05:00:00.000+02:00;1858,855;0,009;VAL;;;;;;
2024-09-01T05:15:00.000+02:00;1858,877;0,022;VAL;;;;;;
2024-09-01T05:30:00.000+02:00;1858,886;0,009;VAL;;;;;;
2024-09-01T05:45:00.000+02:00;1858,893;0,007;VAL;;;;;;
2024-09-01T06:00:00.000+02:00;1858,909;0,016;VAL;;;;;;
2024-09-01T06:15:00.000+02:00;1858,925;0,016;VAL;;;;;;
2024-09-01T06:30:00.000+02:00;1858,932;0,007;VAL;;;;;;
2024-09-01T06:45:00.000+02:00;1858,941;0,009;VAL;;;;;;
2024-09-01T07:00:00.000+02:00;1858,962;0,021;VAL;;;;;;
2024-09-01T07:15:00.000+02:00;1858,969;0,007;VAL;;;;;;
2024-09-01T07:30:00.000+02:00;1858,974;0,005;VAL;;;;;;
2024-09-01T07:45:00.000+02:00;1858,989;0,015;VAL;;;;;;
2024-09-01T08:00:00.000+02:00;1859,001;0,012;VAL;;;;;;
2024-09-01T08:15:00.000+02:00;1859,003;0,002;VAL;;;;;;
2024-09-01T08:30:00.000+02:00;1859,008;0,005;VAL;;;;;;
2024-09-01T08:45:00.000+02:00;1859,024;0,016;VAL;;;;;;
2024-09-01T09:00:00.000+02:00;1859,026;0,002;VAL;;;;;;
2024-09-01T09:15:00.000+02:00;1859,026;;VAL;;;;;;
2024-09-01T09:30:00.000+02:00;1859,036;0,01;VAL;;;;;;
2024-09-01T09:45:00.000+02:00;1859,043;0,007;VAL;;;;;;
2024-09-01T10:00:00.000+02:00;1859,043;;VAL;;;;;;
